"Between 1 October 2017 and 30 September 2018, will an armed group from Afghanistan engage in a campaign that systematically kills 1,000 or more civilians in Afghanistan?",2017-09-29T17:00:49Z,2018-01-01T07:59:37Z,No,"['Yes', 'No']",['Security and Conflict'],226,654,60,237,"The EWP is asking forecasters to help provide early risk assessments to policy makers, NGOs, and other international actors about the systematic killing of civilians resulting in mass fatalities (Early Warning Project). This question is part of a series of quarterly questions (Good Judgment Inc). It will be suspended on 31 December 2017 and will be resolved in October 2018 after EWP assesses the situation in Afghanistan from October 2017 through September 2018. Armed groups include but are not limited to state security forces, rebel armies, and other militias. Campaigns that systematically kill civilians include, but are not limited to, policies which intentionally kill civilians en masse (e.g., military strategies that intentionally target civilians, mass execution of a specific group) and policies that knowingly result in widespread death (e.g., mass starvation, confiscation of health care supplies, forced relocation). In general, unrelated executions of individuals or the accidental killing of civilians in war will not be considered a campaign to systematically kill civilians. If an armed group is engaged in multiple campaigns that systematically kill civilians (e.g., in different geographic areas, or targeted against separate civilian groups) those fatalities will be counted separately and the question will only resolve as yes if 1,000 civilian fatalities occur in one or more campaigns. See Early Warning Project for examples. See GJ’s FAQ on forecasting questions like this. Confused? Check our FAQ or ask us for help.",https://www.gjopen.com/questions/633-between-1-october-2017-and-30-september-2018-will-an-armed-group-from-afghanistan-engage-in-a-campaign-that-systematically-kills-1-000-or-more-civilians-in-afghanistan
691,2017-10-21T19:42:39Z,11,[1.0],[0.0],"http://www.bbc.com/news/world-asia-41708357 Somebody or other will manage to kill a thousand civilians in Afghanistan. Those people will be dead and their surviving family members and friends will be bereft. However, if no single group steps forward to claim them, they will not show up in the EWP scorecard. It is hard to know how to feel about this, but staying low for the moment anyway."
1333,2017-10-21T14:29:46Z,4,[85.0],[10.0],
2965,2017-10-21T06:41:22Z,3,[75.0],[60.0],@ February. Bbc.com Latest week minus 500 civilians. This seen as almost a railroad. Isis Taliban haqquani.coordination
368,2017-10-20T23:02:22Z,22,[0.0],[0.0],
691,2017-10-20T19:42:48Z,10,[1.0],[0.0],
39064,2017-10-20T13:55:21Z,1,[100.0],[100.0],
368,2017-10-19T21:35:57Z,21,[0.0],[0.0],
691,2017-10-19T14:16:13Z,9,[1.0],[0.0],
15196,2017-10-19T05:42:30Z,2,[0.0],[-5.0],
12302,2017-10-18T23:44:00Z,6,[25.0],[10.0],
37211,2017-10-18T18:25:28Z,1,[15.0],[15.0],
1333,2017-10-18T08:22:18Z,3,[75.0],[0.0],https://www.longwarjournal.org/archives/2017/10/taliban-overruns-2-districts-in-southern-afghanistan.php
2965,2017-10-17T22:00:00Z,2,[15.0],[-85.0],@JS sums it up 4 me 2.
368,2017-10-17T19:40:05Z,20,[0.0],[0.0],
37115,2017-10-17T17:11:28Z,1,[10.0],[10.0],
691,2017-10-16T21:47:04Z,8,[1.0],[0.0],
368,2017-10-16T20:23:32Z,19,[0.0],[0.0],
6303,2017-10-16T04:26:36Z,1,[1.0],[1.0],Based on general news and GJP consensus.
691,2017-10-15T23:33:03Z,7,[1.0],[0.0],
368,2017-10-15T20:47:44Z,18,[0.0],[0.0],
12302,2017-10-14T19:47:53Z,5,[15.0],[-30.0],"Hello @mzapata,"
12302,2017-10-14T19:10:00Z,4,[45.0],[-5.0],
12302,2017-10-14T19:09:36Z,3,[50.0],[-20.0],
12302,2017-10-14T18:54:23Z,2,[70.0],[15.0],
368,2017-10-14T16:59:20Z,17,[0.0],[0.0],
691,2017-10-14T13:12:11Z,6,[1.0],[0.0],
368,2017-10-13T23:36:02Z,16,[0.0],[0.0],
691,2017-10-13T19:19:17Z,5,[1.0],[-1.0],
38116,2017-10-13T00:05:56Z,1,[8.0],[8.0],
368,2017-10-12T18:52:26Z,15,[0.0],[0.0],
368,2017-10-11T19:54:35Z,14,[0.0],[0.0],
368,2017-10-10T18:16:43Z,13,[0.0],[0.0],
233,2017-10-09T22:41:59Z,1,[0.0],[0.0],
1333,2017-10-09T20:54:58Z,2,[75.0],[-10.0],
368,2017-10-09T20:12:52Z,12,[0.0],[0.0],
4729,2017-10-09T19:04:04Z,1,[15.0],[15.0],
368,2017-10-08T19:05:34Z,11,[0.0],[-2.0],
368,2017-10-08T19:05:20Z,10,[2.0],[0.0],
40642,2017-10-08T17:37:55Z,1,[0.0],[0.0],
691,2017-10-08T13:22:10Z,4,[2.0],[0.0],
368,2017-10-07T20:00:39Z,9,[2.0],[0.0],
368,2017-10-06T19:39:52Z,8,[2.0],[0.0],
691,2017-10-06T13:11:14Z,3,[2.0],[0.0],
368,2017-10-05T18:17:58Z,7,[2.0],[0.0],
40054,2017-10-05T09:51:36Z,1,[75.0],[75.0],
5018,2017-10-05T04:59:07Z,1,[5.0],[5.0],
368,2017-10-04T18:22:35Z,6,[2.0],[0.0],
36147,2017-10-04T11:54:16Z,1,[35.0],[35.0],say it in german : pulverfass
32540,2017-10-04T07:10:03Z,1,[0.0],[0.0],
39088,2017-10-04T03:58:05Z,1,[100.0],[100.0],
12302,2017-10-03T23:27:14Z,1,[55.0],[55.0],
368,2017-10-03T18:47:27Z,5,[2.0],[0.0],
22264,2017-10-03T13:10:04Z,1,[0.0],[0.0],
40499,2017-10-03T09:12:50Z,1,[5.0],[5.0],
706,2017-10-03T01:56:59Z,1,[5.0],[5.0],
691,2017-10-02T19:59:18Z,2,[2.0],[0.0],
368,2017-10-02T18:42:29Z,4,[2.0],[0.0],
40272,2017-10-02T18:35:25Z,1,[2.0],[2.0],
40490,2017-10-02T17:39:28Z,1,[8.0],[8.0],
16272,2017-10-02T17:35:11Z,1,[55.0],[55.0],
35398,2017-10-01T23:49:06Z,1,[0.0],[0.0],
37474,2017-10-01T23:19:44Z,1,[65.0],[65.0],
368,2017-10-01T19:15:21Z,3,[2.0],[0.0],
14308,2017-10-01T13:34:42Z,1,[0.0],[0.0],
15196,2017-10-01T05:06:05Z,1,[5.0],[5.0],
1333,2017-10-01T00:22:25Z,1,[85.0],[85.0],
368,2017-09-30T20:03:29Z,2,[2.0],[0.0],
39978,2017-09-30T11:05:46Z,1,[9.0],[9.0],
40448,2017-09-30T09:54:49Z,1,[50.0],[50.0],
368,2017-09-29T22:28:39Z,1,[2.0],[2.0],
691,2017-09-29T21:00:31Z,1,[2.0],[2.0],
12879,2017-09-29T21:00:15Z,1,[100.0],[100.0],
33887,2017-09-29T19:29:19Z,1,[100.0],[100.0],
2965,2017-09-29T17:32:00Z,1,[100.0],[100.0],
