"Before 1 October 2018, will Brazil's Workers' Party nominate a candidate for president who is not Luiz Inàcio Lula da Silva?",2018-04-18T17:00:47Z,2018-09-11T17:00:03Z,Yes,"['Yes', 'No']",['Non-US Politics'],386,654,187,237,"Lula's conviction and incarceration based upon corruption charges has cast doubt on his ability to run in Brazil's upcoming presidential election (The Economist, The Washington Post, MercoPress, The Economist). Confused? Check our FAQ or ask us for help.",https://www.gjopen.com/questions/936-before-1-october-2018-will-brazil-s-workers-party-nominate-a-candidate-for-president-who-is-not-luiz-inacio-lula-da-silva
691,2018-09-11T18:48:11Z,49,[100.0],[7.0],https://www.reuters.com/article/us-brazil-election/brazils-workers-party-to-swap-lula-for-running-mate-haddad-idUSKCN1LR08N much tidier to have a candidate who can actually stand for the office....
5018,2018-09-01T05:25:18Z,7,[96.0],[1.0],
20491,2018-09-01T00:10:30Z,1,[15.0],[15.0],
60577,2018-08-31T02:11:50Z,1,[75.0],[75.0],
1333,2018-08-30T15:06:54Z,15,[89.0],[-1.0],
691,2018-08-30T13:18:29Z,43,[92.0],[-2.0],
60438,2018-08-29T19:48:13Z,1,[35.0],[35.0],
172,2018-08-29T12:18:29Z,22,[95.0],[0.0],
15196,2018-08-29T09:46:32Z,3,[60.0],[-20.0],
691,2018-08-28T12:52:20Z,42,[94.0],[0.0],
31410,2018-08-28T08:24:01Z,3,[65.0],[25.0],
691,2018-08-27T12:22:47Z,41,[94.0],[2.0],
60484,2018-08-27T11:38:06Z,1,[85.0],[85.0],
38633,2018-08-27T02:57:10Z,1,[85.0],[85.0],
43588,2018-08-26T17:04:51Z,1,[0.0],[0.0],They are behind Lula
15196,2018-08-24T23:36:19Z,2,[80.0],[-20.0],
27198,2018-08-24T22:28:49Z,1,[87.0],[87.0],
691,2018-08-24T15:57:26Z,40,[92.0],[2.0],
172,2018-08-23T20:59:03Z,21,[95.0],[5.0],
1333,2018-08-23T15:25:17Z,14,[90.0],[1.0],
1646,2018-08-23T14:45:41Z,3,[75.0],[75.0],
60394,2018-08-23T11:21:24Z,1,[73.0],[73.0],
60384,2018-08-23T05:41:51Z,1,[80.0],[80.0],"There is a very strong political will to apply the law as it is and not create any exception, much less in such a high profile case. The civil society and the judiciary power seems to be aligned here and on wanting the law to be applied, despite the high number of voting intentions for Lula. The legislative and the executive branches are surprisingly quiet and taking a neutral stand in the matter, mainly due to the unknown consequences of what backing each side might be. Given this scenario, I think Lula's candidacy will be revoke and the Worker's Party will have no option but to nominate a new candidate (and hope they will be able to surf on Lula's wave). I think there is still a 10% chance that the Worker's Party won't nominate any candidate and just not run for president, refusing the replace Lula's name in the election, in an attempt to stir up the validity of the elections."
29054,2018-08-22T20:10:44Z,2,[100.0],[0.0],
691,2018-08-22T12:58:12Z,39,[90.0],[-2.0],
593,2018-08-22T10:31:36Z,1,[95.0],[95.0],
60350,2018-08-22T00:19:06Z,1,[65.0],[65.0],"It's very likely, but there's also the possibility of retiring their candidature if their vote intentions are bad."
59931,2018-08-21T17:39:22Z,1,[85.0],[85.0],
14432,2018-08-21T13:15:19Z,1,[99.0],[99.0],
60334,2018-08-21T01:06:21Z,1,[80.0],[80.0],
1646,2018-08-20T18:45:09Z,2,[0.0],[-5.0],
60061,2018-08-20T18:07:16Z,1,[85.0],[85.0],
20995,2018-08-20T17:06:04Z,1,[20.0],[20.0],
35636,2018-08-20T14:44:02Z,6,[100.0],[5.0],"All in, was 95. WoC 0.90 308 from 157"
172,2018-08-19T23:44:44Z,20,[90.0],[-10.0],
691,2018-08-18T15:23:56Z,38,[92.0],[-2.0],
601,2018-08-17T19:32:16Z,5,[95.0],[10.0],
1333,2018-08-16T14:29:33Z,13,[89.0],[1.0],
37236,2018-08-16T12:28:42Z,11,[0.0],[-100.0],"Another major flip flop as the result of latest PT shenanigans... Fernando Rodrigques' blog reports that PT has nominated Lula as candidate for president with Fernando Haddad, who was trounced in his bid for a second term as Sao Paulo mayor as his ""vice president"" and running mate. https://www.poder360.com.br/eleicoes/pt-registra-candidatura-de-lula-a-presidencia/ how this plays out with the toffs at the Economist, who knows..."
46161,2018-08-16T12:27:57Z,2,[99.0],[10.0],
32872,2018-08-16T10:05:33Z,1,[99.0],[99.0],
42417,2018-08-15T23:26:49Z,5,[5.0],[3.0],
42417,2018-08-15T23:26:04Z,4,[2.0],[-33.0],
23006,2018-08-15T18:36:02Z,2,[49.0],[49.0],They’ve given public another name for ballot
4879,2018-08-15T18:11:40Z,1,[5.0],[5.0],
691,2018-08-15T11:50:28Z,37,[94.0],[3.0],"He has the nomination now, but if he's definitely found ineligible the party is likely to switch to someone who can actually stand in the election."
37421,2018-08-14T16:19:00Z,1,[88.0],[88.0],
1333,2018-08-13T14:42:37Z,12,[88.0],[1.0],
691,2018-08-13T13:40:38Z,36,[91.0],[0.0],
46762,2018-08-13T03:26:47Z,3,[100.0],[100.0],
41707,2018-08-12T17:28:54Z,2,[93.0],[13.0],
172,2018-08-12T11:57:22Z,19,[100.0],[0.0],
83,2018-08-12T03:11:28Z,1,[92.0],[92.0],Haddad named as the back up if Lula is barred. https://www.theguardian.com/world/2018/aug/06/brazil-workers-party-backup-jailed-presidential-candidate
60217,2018-08-12T01:30:08Z,1,[95.0],[95.0],
19801,2018-08-11T12:04:57Z,5,[100.0],[5.0],"Brazil’s left-leaning Workers’ party has announced that Fernando Haddad will become its presidential candidate if, as expected, jailed ex-president Luiz Inácio Lula da Silva is barred from running in the October election."
23006,2018-08-11T00:53:47Z,1,[0.0],[0.0],
1333,2018-08-10T14:42:44Z,11,[87.0],[-1.0],
41922,2018-08-10T09:05:09Z,7,[100.0],[50.0],
60157,2018-08-10T04:46:59Z,1,[15.0],[15.0],
172,2018-08-09T23:52:17Z,18,[100.0],[0.0],
58958,2018-08-09T18:56:42Z,5,[100.0],[5.0],
60189,2018-08-09T17:04:28Z,1,[80.0],[80.0],
36132,2018-08-09T16:13:52Z,2,[100.0],[0.0],
36132,2018-08-09T16:09:25Z,1,[100.0],[100.0],
1646,2018-08-07T22:07:10Z,1,[5.0],[5.0],
46762,2018-08-07T18:17:26Z,2,[0.0],[-100.0],Gah. I think I'm wrong. I think they're going to nail him to the cross and make a martyr out of him. The Presidential race cannot be won by any worker's party candidate. But nominating lula will inspire the down vote ticket.
1333,2018-08-06T14:06:29Z,10,[88.0],[1.0],
