"Between 1 October 2017 and 30 September 2018, will an armed group from Burundi engage in a campaign that systematically kills 1,000 or more civilians in Burundi?",2017-09-29T17:00:11Z,2018-01-01T07:59:37Z,No,"['Yes', 'No']",['Security and Conflict'],189,654,40,237,"The EWP is asking forecasters to help provide early risk assessments to policy makers, NGOs, and other international actors about the systematic killing of civilians resulting in mass fatalities (Early Warning Project). This question is part of a series of quarterly questions (Good Judgment Inc). It will be suspended on 31 December 2017 and will be resolved in October 2018 after EWP assesses the situation in Burundi from October 2017 through September 2018. Armed groups include but are not limited to state security forces, rebel armies, and other militias. Campaigns that systematically kill civilians include, but are not limited to, policies which intentionally kill civilians en masse (e.g., military strategies that intentionally target civilians, mass execution of a specific group) and policies that knowingly result in widespread death (e.g., mass starvation, confiscation of health care supplies, forced relocation). In general, unrelated executions of individuals or the accidental killing of civilians in war will not be considered a campaign to systematically kill civilians. If an armed group is engaged in multiple campaigns that systematically kill civilians (e.g., in different geographic areas, or targeted against separate civilian groups) those fatalities will be counted separately and the question will only resolve as yes if 1,000 civilian fatalities occur in one or more campaigns. See Early Warning Project for examples. See GJ’s FAQ on forecasting questions like this. Confused? Check our FAQ or ask us for help.",https://www.gjopen.com/questions/631-between-1-october-2017-and-30-september-2018-will-an-armed-group-from-burundi-engage-in-a-campaign-that-systematically-kills-1-000-or-more-civilians-in-burundi
368,2017-10-29T01:32:05Z,31,[0.0],[0.0],
368,2017-10-27T20:08:55Z,30,[0.0],[0.0],
691,2017-10-27T18:32:16Z,17,[0.0],[0.0],
691,2017-10-26T21:42:40Z,16,[0.0],[0.0],
368,2017-10-26T17:53:56Z,29,[0.0],[0.0],
598,2017-10-26T13:18:44Z,1,[30.0],[30.0],"With ""more than 1,200 people killed in politically-inspired violence since April 2015"" and ""over 400,000 Burundian refugees in neighboring countries"", also a newly-reformed insurrectionist army and widespread central authoritarian aggression, there seems to be a possibility for the situation to ignite and one or more armed groups choosing a bloody campaign. https://reliefweb.int/report/burundi/burundi-populations-risk-serious-concern-15-september-2017"
368,2017-10-25T23:34:33Z,28,[0.0],[0.0],
691,2017-10-25T15:11:27Z,15,[0.0],[0.0],
691,2017-10-24T20:29:48Z,14,[0.0],[0.0],
368,2017-10-24T18:46:51Z,27,[0.0],[0.0],
368,2017-10-23T20:05:53Z,26,[0.0],[0.0],
6303,2017-10-23T02:46:39Z,2,[0.0],[-1.0],Based on general news and GJP consensus.
427,2017-10-23T02:18:16Z,1,[0.0],[0.0],
368,2017-10-21T21:19:51Z,25,[0.0],[0.0],
691,2017-10-21T19:39:18Z,13,[0.0],[0.0],
368,2017-10-20T23:04:53Z,24,[0.0],[0.0],
691,2017-10-20T19:42:31Z,12,[0.0],[0.0],
368,2017-10-19T21:41:03Z,23,[0.0],[0.0],
691,2017-10-19T14:15:48Z,11,[0.0],[0.0],
368,2017-10-18T20:37:11Z,22,[0.0],[0.0],
691,2017-10-18T19:18:04Z,10,[0.0],[0.0],
368,2017-10-17T19:48:46Z,21,[0.0],[0.0],
691,2017-10-16T21:46:47Z,9,[0.0],[0.0],
368,2017-10-16T20:27:58Z,20,[0.0],[0.0],
6303,2017-10-16T04:33:30Z,1,[1.0],[1.0],Based on general news and GJP consensus.
691,2017-10-15T23:32:46Z,8,[0.0],[0.0],
368,2017-10-15T20:53:21Z,19,[0.0],[0.0],
368,2017-10-14T17:04:25Z,18,[0.0],[0.0],
691,2017-10-14T13:11:55Z,7,[0.0],[0.0],
368,2017-10-13T23:44:00Z,17,[0.0],[0.0],
368,2017-10-13T23:39:18Z,16,[0.0],[0.0],
691,2017-10-13T19:18:39Z,6,[0.0],[-1.0],
38116,2017-10-13T00:05:24Z,1,[3.0],[3.0],
368,2017-10-12T19:04:39Z,15,[0.0],[0.0],
368,2017-10-11T20:08:39Z,14,[0.0],[0.0],
368,2017-10-11T19:57:53Z,13,[0.0],[0.0],
368,2017-10-10T18:33:58Z,12,[0.0],[0.0],
368,2017-10-10T18:22:33Z,11,[0.0],[0.0],
233,2017-10-09T22:42:28Z,1,[0.0],[0.0],
368,2017-10-09T20:17:28Z,10,[0.0],[0.0],
4729,2017-10-09T19:43:10Z,1,[0.0],[0.0],
368,2017-10-08T19:09:44Z,9,[0.0],[0.0],
40642,2017-10-08T17:37:30Z,1,[0.0],[0.0],
691,2017-10-08T13:21:47Z,5,[1.0],[0.0],
368,2017-10-07T20:04:27Z,8,[0.0],[0.0],
368,2017-10-06T19:43:07Z,7,[0.0],[0.0],
691,2017-10-06T13:10:55Z,4,[1.0],[0.0],
368,2017-10-05T18:20:44Z,6,[0.0],[0.0],
5018,2017-10-05T04:58:28Z,1,[0.0],[0.0],
12302,2017-10-03T23:29:45Z,1,[4.0],[4.0],
691,2017-10-03T20:58:44Z,3,[1.0],[0.0],
368,2017-10-03T18:49:40Z,5,[0.0],[0.0],
22264,2017-10-03T13:13:11Z,1,[0.0],[0.0],
40499,2017-10-03T09:12:13Z,1,[0.0],[0.0],
691,2017-10-02T19:57:03Z,2,[1.0],[0.0],
368,2017-10-02T18:53:24Z,4,[0.0],[0.0],
40272,2017-10-02T18:36:56Z,1,[14.0],[14.0],
40490,2017-10-02T17:40:03Z,1,[25.0],[25.0],
16272,2017-10-02T17:33:59Z,1,[22.0],[22.0],
37474,2017-10-01T23:18:32Z,1,[80.0],[80.0],
368,2017-10-01T19:16:55Z,3,[0.0],[0.0],
14308,2017-10-01T13:35:12Z,1,[0.0],[0.0],
1333,2017-10-01T00:15:22Z,1,[0.0],[0.0],
368,2017-09-30T20:05:22Z,2,[0.0],[0.0],
368,2017-09-29T22:33:22Z,1,[0.0],[0.0],
691,2017-09-29T20:59:37Z,1,[1.0],[1.0],
12879,2017-09-29T20:54:19Z,1,[70.0],[70.0],
33887,2017-09-29T19:31:54Z,1,[100.0],[100.0],
4423,2017-09-29T17:26:06Z,1,[62.0],[62.0],
