"Before 1 January 2018, will the U.S. Federal Aviation Administration grant a waiver allowing Amazon to test its unmanned aerial vehicles?",2017-01-06T18:00:14Z,2018-01-01T07:59:14Z,No,"['Yes', 'No']",['Technology'],1434,654,414,237,"Amazon completed its first drone delivery in the U.K., the debut of its unmanned aerial vehicle (UAV) shipping service (The Guardian). U.S. commercial drone rules were finalized at the end of August 2016 (FAA). Among other things, they require operators to maintain visual line of site with the drones (FAA, Fortune). Since passing the regulation, U.S. regulators have been granting waivers for companies to test drone delivery (FAA). 7-Eleven, which became the first major company to use drones for deliveries in the U.S.,did so without a waiver because its drone operators maintained line of site for short range delivery (CNBC). Confused? Check our FAQ or ask us for help.",https://www.gjopen.com/questions/379-before-1-january-2018-will-the-u-s-federal-aviation-administration-grant-a-waiver-allowing-amazon-to-test-its-unmanned-aerial-vehicles
29591,2017-12-01T21:30:21Z,29,[0.0],[-1.0],"There are rumours that Nevada State will partner with Amazon in the FAA pilot program: http://www.rgj.com/story/money/business/2017/11/28/amazon-hq-2-nevada-skies-drones-faa-pilot-program/902286001/ Even if the rumours turn out to be true, the “Interested Parties must submit a request by 2.00pm ET, December 13, 2017” Then, “By 2.00pm ET, January 4, 2018: Lead applicants complete volumes III, IV, V and VI, in the application portal” (https://www.faa.gov/uas/programs_partnerships/uas_integration_pilot_program/) Which suggests a waiver will not be granted between now and 1 January 2018."
23861,2017-12-01T16:30:27Z,4,[3.0],[-67.0],
368,2017-12-01T13:36:18Z,233,[0.0],[0.0],
1034,2017-12-01T07:30:12Z,13,[0.0],[0.0],
368,2017-12-01T02:53:58Z,232,[0.0],[0.0],
368,2017-11-30T22:26:06Z,231,[0.0],[0.0],
40741,2017-11-30T17:24:37Z,1,[72.0],[72.0],
42026,2017-11-30T16:29:08Z,1,[65.0],[65.0],
691,2017-11-30T15:52:26Z,213,[0.0],[-1.0],
1034,2017-11-30T06:14:32Z,12,[0.0],[0.0],
368,2017-11-29T19:36:55Z,230,[0.0],[0.0],
35,2017-11-29T00:36:29Z,4,[0.0],[-1.0],
368,2017-11-28T22:01:51Z,229,[0.0],[0.0],
691,2017-11-28T20:30:11Z,212,[1.0],[0.0],
30364,2017-11-28T19:11:50Z,26,[1.0],[0.0],
1993,2017-11-28T12:23:14Z,7,[5.0],[-10.0],
1034,2017-11-28T07:49:21Z,11,[0.0],[0.0],
368,2017-11-28T00:45:21Z,228,[0.0],[0.0],
41842,2017-11-27T21:30:32Z,1,[7.0],[7.0],
1034,2017-11-27T07:00:30Z,10,[0.0],[0.0],
368,2017-11-27T02:10:48Z,227,[0.0],[0.0],
14777,2017-11-27T01:10:46Z,14,[4.0],[-1.0],
14777,2017-11-27T01:10:35Z,13,[5.0],[-4.0],
12726,2017-11-26T22:55:12Z,14,[8.0],[-5.0],
30364,2017-11-26T14:41:55Z,25,[1.0],[0.0],
530,2017-11-26T13:21:24Z,7,[10.0],[-20.0],
1034,2017-11-26T07:16:25Z,9,[0.0],[0.0],
13377,2017-11-26T07:13:08Z,16,[0.0],[-5.0],
368,2017-11-26T01:29:55Z,226,[0.0],[0.0],
41682,2017-11-25T15:42:17Z,1,[15.0],[15.0],Waivers will be granted but not yet this year with holidays upon us.
1333,2017-11-25T14:37:49Z,20,[15.0],[-10.0],
691,2017-11-25T13:19:12Z,211,[1.0],[0.0],
1034,2017-11-25T07:56:19Z,8,[0.0],[0.0],
1034,2017-11-24T20:19:53Z,7,[0.0],[0.0],
368,2017-11-24T17:04:05Z,225,[0.0],[0.0],
691,2017-11-24T16:16:08Z,210,[1.0],[-2.0],
30364,2017-11-24T05:29:10Z,24,[1.0],[0.0],
368,2017-11-24T01:26:39Z,224,[0.0],[0.0],
29591,2017-11-23T21:41:03Z,28,[1.0],[-1.0],
39926,2017-11-23T13:40:59Z,1,[12.0],[12.0],
21884,2017-11-23T07:22:53Z,8,[1.0],[0.0],
41523,2017-11-23T05:38:33Z,1,[5.0],[5.0],
368,2017-11-23T00:09:47Z,223,[0.0],[0.0],
31450,2017-11-22T22:33:46Z,6,[0.0],[-5.0],"Not much time left, disappointing but I don't think this will happen this year."
29680,2017-11-22T10:11:12Z,3,[20.0],[-55.0],
11800,2017-11-22T06:52:03Z,1,[1.0],[1.0],
1034,2017-11-22T06:43:59Z,6,[0.0],[0.0],
368,2017-11-22T00:19:35Z,222,[0.0],[0.0],
691,2017-11-21T21:17:02Z,209,[3.0],[0.0],
1034,2017-11-21T06:40:24Z,5,[0.0],[0.0],
40010,2017-11-21T06:27:38Z,2,[45.0],[-20.0],
368,2017-11-20T21:42:08Z,221,[0.0],[0.0],
1034,2017-11-20T18:38:02Z,4,[0.0],[0.0],
691,2017-11-20T13:48:52Z,208,[3.0],[0.0],
30364,2017-11-20T12:02:22Z,23,[1.0],[0.0],
368,2017-11-19T23:55:01Z,220,[0.0],[0.0],
23234,2017-11-19T21:47:52Z,7,[0.0],[-4.0],
14777,2017-11-19T17:32:35Z,12,[9.0],[-2.0],
1034,2017-11-19T07:19:39Z,3,[0.0],[0.0],
19801,2017-11-19T03:10:26Z,8,[0.0],[0.0],Amazon's Dream of Drone Deliveries Get Closer With Trump's Executive Order Trump’s order says Transportation Secretary Elaine Chao will approve at least five applications from local governments within six months. https://www.bloomberg.com/news/articles/2017-10-25/amazon-s-dream-of-drone-deliveries-get-closer-with-trump-order
368,2017-11-19T00:43:53Z,219,[0.0],[0.0],
12726,2017-11-18T22:16:33Z,13,[13.0],[-6.0],
1034,2017-11-18T21:37:40Z,2,[0.0],[0.0],
691,2017-11-18T19:21:50Z,207,[3.0],[0.0],
368,2017-11-17T21:44:21Z,218,[0.0],[0.0],
691,2017-11-17T15:06:48Z,206,[3.0],[0.0],
31238,2017-11-17T14:16:14Z,6,[5.0],[-13.0],
32100,2017-11-17T14:07:53Z,4,[2.0],[-43.0],
30364,2017-11-17T13:46:22Z,22,[1.0],[0.0],
41454,2017-11-17T12:44:08Z,1,[6.0],[6.0],
1529,2017-11-17T03:54:07Z,3,[5.0],[-50.0],
14777,2017-11-17T02:29:45Z,11,[11.0],[-2.0],
38798,2017-11-16T21:40:00Z,1,[0.0],[0.0],
368,2017-11-16T19:54:12Z,217,[0.0],[0.0],
691,2017-11-15T21:57:01Z,205,[3.0],[0.0],
30364,2017-11-15T14:25:18Z,21,[1.0],[0.0],
691,2017-11-14T21:48:41Z,204,[3.0],[0.0],
29591,2017-11-14T21:12:30Z,27,[2.0],[-2.0],
368,2017-11-14T19:26:06Z,216,[0.0],[0.0],
14493,2017-11-14T18:54:47Z,11,[0.0],[-2.0],
178,2017-11-14T17:07:41Z,1,[5.0],[5.0],
30364,2017-11-14T04:54:08Z,20,[1.0],[0.0],
368,2017-11-13T22:14:03Z,215,[0.0],[0.0],
368,2017-11-13T01:19:52Z,214,[0.0],[0.0],
691,2017-11-12T21:42:33Z,203,[3.0],[0.0],
14166,2017-11-12T12:04:16Z,3,[0.0],[-70.0],
1034,2017-11-12T05:28:54Z,1,[0.0],[0.0],
30364,2017-11-11T23:21:09Z,19,[1.0],[0.0],
368,2017-11-11T19:59:45Z,213,[0.0],[0.0],
29804,2017-11-11T02:00:12Z,1,[15.0],[15.0],"Seems like a good idea, but bureaucracies are notoriously slow to make decisions."
15371,2017-11-10T21:44:04Z,1,[15.0],[15.0],Too soon
368,2017-11-10T18:17:07Z,212,[0.0],[0.0],
35636,2017-11-10T06:49:06Z,2,[0.0],[-75.0],Dropped from 75 to 0. Optimistic. Drone was just R&D and marketing stunt. Great PR!
15414,2017-11-10T05:23:53Z,4,[15.0],[-33.0],
41270,2017-11-10T02:33:10Z,1,[1.0],[1.0],"Due to the introduction of the UAS Integration Pilot Program, it's unlikely that the FAA will use a waiver to allow Amazon to test, opting for allowing Amazon to become part of the program instead."
368,2017-11-10T01:40:11Z,211,[0.0],[0.0],
691,2017-11-09T17:07:26Z,202,[3.0],[-1.0],
41318,2017-11-09T01:52:29Z,1,[3.0],[3.0],
30364,2017-11-08T22:25:47Z,18,[1.0],[0.0],
368,2017-11-08T19:55:40Z,210,[0.0],[0.0],
368,2017-11-07T19:27:07Z,209,[0.0],[0.0],
4431,2017-11-07T14:23:26Z,1,[1.0],[1.0],
30364,2017-11-07T00:20:51Z,17,[1.0],[0.0],
29591,2017-11-06T20:50:58Z,26,[4.0],[-1.0],
13377,2017-11-06T20:17:19Z,15,[5.0],[-10.0],
368,2017-11-06T19:20:30Z,208,[0.0],[0.0],
368,2017-11-05T22:52:38Z,207,[0.0],[0.0],
1333,2017-11-05T15:16:21Z,19,[25.0],[-10.0],
32539,2017-11-05T13:31:46Z,5,[90.0],[90.0],
32539,2017-11-05T13:31:35Z,4,[0.0],[-53.0],
14493,2017-11-05T11:49:53Z,10,[2.0],[-3.0],
37758,2017-11-04T15:59:37Z,1,[1.0],[1.0],
41120,2017-11-04T14:29:05Z,1,[0.0],[0.0],
30364,2017-11-04T14:07:14Z,16,[1.0],[0.0],
368,2017-11-03T17:47:07Z,206,[0.0],[0.0],
691,2017-11-03T15:20:37Z,201,[4.0],[0.0],
691,2017-11-02T17:54:36Z,200,[4.0],[0.0],
368,2017-11-02T17:43:00Z,205,[0.0],[0.0],
32294,2017-11-02T14:47:16Z,4,[5.0],[-66.0],
30364,2017-11-02T13:03:23Z,15,[1.0],[0.0],
1993,2017-11-02T05:16:06Z,6,[15.0],[-5.0],They should be able to make an application to fly within 5 miles of an airport without requesting a waiver per the LAANC program:
31450,2017-11-02T01:53:06Z,5,[5.0],[-10.0],Dropping more points because the federal government seems more focused on the 19th century.
368,2017-11-01T22:08:33Z,204,[0.0],[0.0],
691,2017-11-01T18:32:59Z,199,[4.0],[-1.0],
11686,2017-11-01T17:14:01Z,3,[5.0],[-75.0],
30364,2017-11-01T14:07:08Z,14,[1.0],[0.0],
15621,2017-11-01T09:23:25Z,15,[7.0],[-1.0],passage of time
691,2017-10-31T22:30:48Z,198,[5.0],[0.0],
368,2017-10-31T18:58:44Z,203,[0.0],[0.0],
41066,2017-10-31T18:12:04Z,1,[24.0],[24.0],
6303,2017-10-31T03:52:23Z,12,[5.0],[0.0],Based on general news and GJP consensus.
40965,2017-10-31T02:11:21Z,1,[1.0],[1.0],
368,2017-10-30T22:17:57Z,202,[0.0],[0.0],
30364,2017-10-30T13:04:16Z,13,[1.0],[0.0],
368,2017-10-29T17:48:38Z,201,[0.0],[0.0],
1161,2017-10-29T15:15:21Z,2,[0.0],[-1.0],Time is not on Amazon's side.
691,2017-10-29T12:51:54Z,197,[5.0],[0.0],
20156,2017-10-29T07:43:37Z,4,[20.0],[-30.0],
368,2017-10-29T02:04:56Z,200,[0.0],[0.0],
35,2017-10-28T18:41:20Z,3,[1.0],[-14.0],
30364,2017-10-28T12:57:21Z,12,[1.0],[0.0],
30364,2017-10-27T23:54:40Z,11,[1.0],[0.0],
368,2017-10-27T20:34:24Z,199,[0.0],[0.0],
29591,2017-10-27T20:10:45Z,25,[5.0],[-4.0],"Lowering forecast; after looking through the details of the executive order, I think its unlikely a waiver will be granted in the time period that remains on this forecast."
691,2017-10-27T14:50:31Z,196,[5.0],[0.0],
1333,2017-10-27T10:23:30Z,18,[35.0],[-10.0],
691,2017-10-26T20:09:41Z,195,[5.0],[0.0],
368,2017-10-26T18:30:52Z,198,[0.0],[0.0],
23234,2017-10-26T00:23:30Z,6,[4.0],[4.0],https://www.bloomberg.com/news/articles/2017-10-25/amazon-s-dream-of-drone-deliveries-get-closer-with-trump-order ...but I don't see any FAA approval involved in this plan.
368,2017-10-25T23:53:06Z,197,[0.0],[0.0],
40957,2017-10-25T19:37:31Z,1,[22.0],[22.0],
691,2017-10-25T15:04:21Z,194,[5.0],[-1.0],
691,2017-10-24T20:17:30Z,193,[6.0],[-3.0],
368,2017-10-24T19:29:20Z,196,[0.0],[0.0],
40921,2017-10-24T11:49:58Z,1,[45.0],[45.0],
368,2017-10-24T01:08:16Z,195,[0.0],[0.0],
40913,2017-10-23T23:57:22Z,1,[20.0],[20.0],
30364,2017-10-23T11:17:17Z,10,[1.0],[0.0],
13377,2017-10-23T08:53:01Z,14,[15.0],[10.0],
6303,2017-10-23T03:55:47Z,11,[5.0],[0.0],Based on general news and GJP consensus.
368,2017-10-22T18:35:27Z,194,[0.0],[0.0],
39394,2017-10-22T16:29:55Z,1,[79.0],[79.0],
35717,2017-10-22T14:31:49Z,2,[18.0],[-47.0],
37456,2017-10-22T11:19:12Z,1,[75.0],[75.0],
368,2017-10-21T21:45:26Z,193,[0.0],[0.0],
691,2017-10-21T19:09:16Z,192,[9.0],[0.0],
30364,2017-10-21T12:35:24Z,9,[1.0],[0.0],
368,2017-10-20T23:28:09Z,192,[0.0],[0.0],
691,2017-10-20T19:17:08Z,191,[9.0],[0.0],
98,2017-10-20T03:31:24Z,3,[10.0],[-85.0],
1993,2017-10-20T02:05:10Z,5,[20.0],[-5.0],"Not sure Amazon will need a waiver after LAANC is in place, which could be this year. Expecting annoucement in a few days."
368,2017-10-19T22:31:37Z,191,[0.0],[0.0],
691,2017-10-19T12:31:11Z,190,[9.0],[0.0],
30364,2017-10-19T11:00:39Z,8,[1.0],[0.0],
23006,2017-10-18T21:13:26Z,14,[15.0],[-25.0],p of t
23006,2017-10-18T21:08:46Z,13,[40.0],[20.0],
368,2017-10-18T21:01:50Z,190,[0.0],[0.0],
1064,2017-10-18T21:01:16Z,3,[75.0],[75.0],FAA just granted CNN a waiver.
691,2017-10-18T19:07:51Z,189,[9.0],[5.0],
