"Between 1 October 2017 and 30 September 2018, will an armed group from Pakistan engage in a campaign that systematically kills 1,000 or more civilians in Pakistan?",2017-09-29T17:00:13Z,2018-01-01T07:59:37Z,No,"['Yes', 'No']",['Security and Conflict'],252,654,46,237,"The EWP is asking forecasters to help provide early risk assessments to policy makers, NGOs, and other international actors about the systematic killing of civilians resulting in mass fatalities (Early Warning Project). This question is part of a series of quarterly questions (Good Judgment Inc). It will be suspended on 31 December 2017 and will be resolved in October 2018 after EWP assesses the situation in Pakistan from October 2017 through September 2018. Armed groups include but are not limited to state security forces, rebel armies, and other militias. Campaigns that systematically kill civilians include, but are not limited to, policies which intentionally kill civilians en masse (e.g., military strategies that intentionally target civilians, mass execution of a specific group) and policies that knowingly result in widespread death (e.g., mass starvation, confiscation of health care supplies, forced relocation). In general, unrelated executions of individuals or the accidental killing of civilians in war will not be considered a campaign to systematically kill civilians. If an armed group is engaged in multiple campaigns that systematically kill civilians (e.g., in different geographic areas, or targeted against separate civilian groups) those fatalities will be counted separately and the question will only resolve as yes if 1,000 civilian fatalities occur in one or more campaigns. See Early Warning Project for examples. See GJ’s FAQ on forecasting questions like this. Confused? Check our FAQ or ask us for help.",https://www.gjopen.com/questions/624-between-1-october-2017-and-30-september-2018-will-an-armed-group-from-pakistan-engage-in-a-campaign-that-systematically-kills-1-000-or-more-civilians-in-pakistan
1034,2017-10-28T05:11:03Z,11,[0.0],[0.0],
368,2017-10-27T20:08:00Z,32,[0.0],[0.0],
1034,2017-10-27T19:59:11Z,10,[0.0],[0.0],
691,2017-10-27T18:30:46Z,17,[1.0],[0.0],
691,2017-10-26T21:40:53Z,16,[1.0],[0.0],
368,2017-10-26T17:52:47Z,31,[0.0],[0.0],
1034,2017-10-26T06:35:00Z,9,[0.0],[0.0],
368,2017-10-25T23:34:01Z,30,[0.0],[0.0],
1034,2017-10-25T17:54:56Z,8,[0.0],[0.0],
691,2017-10-25T15:10:10Z,15,[1.0],[0.0],
691,2017-10-24T20:28:05Z,14,[1.0],[0.0],
368,2017-10-24T18:45:59Z,29,[0.0],[0.0],
368,2017-10-23T20:05:14Z,28,[0.0],[0.0],
6303,2017-10-23T02:45:17Z,2,[1.0],[0.0],Based on general news and GJP consensus.
1034,2017-10-22T23:27:31Z,7,[0.0],[0.0],
368,2017-10-21T21:18:53Z,27,[0.0],[0.0],
1034,2017-10-21T20:39:26Z,6,[0.0],[0.0],
691,2017-10-21T19:34:00Z,13,[1.0],[0.0],
368,2017-10-20T23:04:14Z,26,[0.0],[0.0],
691,2017-10-20T19:41:03Z,12,[1.0],[0.0],
1034,2017-10-20T05:44:02Z,5,[0.0],[0.0],
368,2017-10-19T21:39:06Z,25,[0.0],[0.0],
691,2017-10-19T14:13:38Z,11,[1.0],[0.0],
368,2017-10-18T20:36:11Z,24,[0.0],[0.0],
691,2017-10-18T19:16:20Z,10,[1.0],[0.0],
368,2017-10-17T19:46:20Z,23,[0.0],[0.0],
691,2017-10-16T21:45:38Z,9,[1.0],[0.0],
368,2017-10-16T20:27:39Z,22,[0.0],[0.0],
6303,2017-10-16T04:32:01Z,1,[1.0],[1.0],Based on general news and GJP consensus.
691,2017-10-15T23:31:40Z,8,[1.0],[0.0],
368,2017-10-15T20:50:55Z,21,[0.0],[0.0],
1034,2017-10-15T19:41:04Z,4,[0.0],[0.0],
12302,2017-10-14T19:08:57Z,3,[4.0],[2.0],
12302,2017-10-14T19:08:49Z,2,[2.0],[-1.0],
368,2017-10-14T17:03:47Z,20,[0.0],[0.0],
691,2017-10-14T13:10:35Z,7,[1.0],[0.0],
368,2017-10-13T23:43:31Z,19,[0.0],[0.0],
368,2017-10-13T23:38:06Z,18,[0.0],[0.0],
691,2017-10-13T19:16:31Z,6,[1.0],[0.0],
38116,2017-10-13T00:10:39Z,1,[1.0],[1.0],
368,2017-10-12T19:03:54Z,17,[0.0],[0.0],
368,2017-10-11T20:08:11Z,16,[0.0],[0.0],
368,2017-10-11T19:57:18Z,15,[0.0],[0.0],
368,2017-10-10T18:21:28Z,14,[0.0],[0.0],
368,2017-10-09T20:16:18Z,13,[0.0],[0.0],
4729,2017-10-09T19:42:33Z,1,[1.0],[1.0],
368,2017-10-08T19:08:47Z,12,[0.0],[0.0],
40642,2017-10-08T17:16:50Z,1,[0.0],[0.0],
691,2017-10-08T13:20:31Z,5,[1.0],[0.0],
368,2017-10-07T20:03:43Z,11,[0.0],[0.0],
368,2017-10-06T19:42:24Z,10,[0.0],[0.0],
691,2017-10-06T13:08:51Z,4,[1.0],[0.0],
368,2017-10-05T18:43:10Z,9,[0.0],[0.0],
368,2017-10-05T18:20:08Z,8,[0.0],[0.0],
20284,2017-10-05T17:19:19Z,1,[90.0],[90.0],"Pakistan is a country with lots of weapons, lots of people radicalized, lots of grievances and a government unable in some cases and unwilling in other cases to enforce order. Chaos will find no better home in 2018."
368,2017-10-04T18:26:38Z,7,[0.0],[0.0],
12302,2017-10-03T23:29:18Z,1,[3.0],[3.0],
691,2017-10-03T20:57:34Z,3,[1.0],[0.0],
368,2017-10-03T18:49:06Z,6,[0.0],[0.0],
40504,2017-10-03T13:27:35Z,1,[1.0],[1.0],
22264,2017-10-03T13:12:32Z,1,[0.0],[0.0],
40499,2017-10-03T09:10:44Z,2,[0.0],[-2.0],
40499,2017-10-03T09:08:43Z,1,[2.0],[2.0],
691,2017-10-02T19:56:02Z,2,[1.0],[0.0],
368,2017-10-02T19:09:45Z,5,[0.0],[0.0],
368,2017-10-02T18:47:32Z,4,[0.0],[0.0],
40272,2017-10-02T18:27:09Z,1,[5.0],[5.0],
40490,2017-10-02T17:42:07Z,1,[30.0],[30.0],
16272,2017-10-02T17:34:23Z,1,[50.0],[50.0],
1034,2017-10-02T06:35:14Z,3,[0.0],[0.0],
37474,2017-10-01T23:10:06Z,1,[5.0],[5.0],
368,2017-10-01T19:16:09Z,3,[0.0],[0.0],
14308,2017-10-01T13:36:16Z,1,[0.0],[0.0],
1034,2017-10-01T07:30:36Z,2,[0.0],[0.0],
1333,2017-10-01T00:18:02Z,1,[0.0],[0.0],
368,2017-09-30T20:04:58Z,2,[0.0],[0.0],
1034,2017-09-30T19:07:27Z,1,[0.0],[0.0],
39978,2017-09-30T11:08:54Z,1,[1.0],[1.0],
368,2017-09-29T22:32:06Z,1,[0.0],[0.0],
12879,2017-09-29T20:54:45Z,1,[15.0],[15.0],
691,2017-09-29T20:53:48Z,1,[1.0],[1.0],
